Ticker,2-Year Average Annual Returns,Variance of Daily Returns
UPRO,0.24085845567164893,0.1714457150035017
GNR,0.05903156793355316,0.023143425577507443
FLQL,0.10950619649287575,0.013524094116733045
USSG,0.004475899647342073,0.0014603458664176508
IBDL,0.01809720169398783,0.00011550285467160651
FNCL,0.09628226881448437,0.025953935459243363
IBDM,0.020783586816474887,0.00023559962946920318
FXH,0.07195763373179997,0.029608343442555064
GSG,0.04484694396244243,0.026242711960943306
FPX,0.12696195116311496,0.02602161932144038
SUSL,0.0028894438746652202,0.0008243524599029254
NUGT,-0.10723258946380802,0.4713020297326365
FTA,0.02607367870028246,0.01637417821013223
EZM,0.06645165212101205,0.021426357179807752
VIGI,0.04654007516439364,0.015723259420966685
SPTS,0.011679762179605296,0.00015117978044541257
BSJK,0.028517502380833414,0.0008252110050809753
TLH,0.034865302656094194,0.0032702373599318457
BAB,0.058109061003956713,0.0020282547961988965
EDV,0.06954476685552405,0.01694120782860154
VONE,0.09849518576184033,0.018713199801163947
VIOO,0.06722559239091559,0.02519398559281996
BWX,0.01897568996066298,0.0028341589543281
JKE,0.14355521215645253,0.027747508667305184
VYMI,0.02039488659057714,0.014183238521607322
SDS,-0.15147710817861643,0.07634789189402044
AOM,0.0403355563678529,0.0028397238144396426
SQQQ,-0.3232049732090098,0.31980893596815574
EWL,0.05337889739824948,0.01309651108330196
ANGL,0.03497112652909728,0.002311812518678451
JHMM,0.08066992780139114,0.018255776043603886
AIA,0.03438680143931022,0.03512312620661754
IPAC,0.032430075251682136,0.014940196902820625
LRGF,0.06025129639001322,0.01883819065989926
